name		ra	dec	flux	20-50	20-40	14-195
NGC1275		49.9507	41.5117	1.89	0	1	0
ThreeC111	64.59	38.03	4.13	1	0	0
NGC4151		182.64	39.41	18.09	1	0	0
NGC1142		43.8	-0.18	4.05	1	0	0
CygA		299.87	40.73	4.93	1	0	0
Mrk348		12.1964	31.957	159	0	0	1
Mrk1498		247.02	51.78	1.86	1	0	0
NGC3227		155.88	19.87	4.16	1	0	0
UGC11910	331.76	10.23	2.2	1	0	0
NGC4051		180.79	44.53	1.75	1	0	0
UGC3374		88.72	46.44	4.94	1	0	0
NGC7603		349.74	0.24	1.87	1	0	0
Mrk1040		37.06	31.31	2.37	1	0	0
ESO565G019	143.68	-21.928	17.08	0	0	1
TwoMASXJ2014592	303.75	25.38	2.7	1	0	0
NGC4102		181.6	52.71	2.24	1	0	0
Q0241622	41.24	62.47	3.45	1	0	0
AXJ173742907	264.368	-29.134	4.03	0	1	0
NGC4388		186.44	12.66	10.79	1	0	0
LEDA168563	73.02	49.55	2.15	1	0	0
NGC5548		214.5	25.14	2.7	1	0	0
MCG4482		307.15	25.73	4.32	1	0	0
LEDA138501	32.41	52.44	1.95	1	0	0
ThreeC445	335.96	-2.1	2.02	1	0	0
NGC1194		45.95	-1.1	3.87	1	0	0
NGC7319		339.01	33.98	1.7	1	0	0
NGC6240		253.25	2.4	12.89	1	0	0
LEDA86269	71.04	28.22	1.76	1	0	0
CGCG420015	73.36	4.06	1.77	1	0	0
IGRJ212775656	321.94	56.94	1.67	1	0	0
NGC7679		352.266	3.53333	16.11	0	0	1
NGC7682		352.27	3.53	1.99	1	0	0
FourC5055	321.16	50.97	7.73	1	0	0
ThreeC382	278.76	32.7	2.62	1	0	0
LEDA166445	42.68	54.7	1.61	1	0	0
Mrk1210		121.02	5.11	2.36	1	0	0
NGC5252 	204.57	4.54	3.65	1	0	0
NGC7469		345.82	8.87	2.69	1	0	0
IRAS055892828	90.54	28.47	2.64	1	0	0
NGC1068		40.67	-0.01	7.72	1	0	0
ESO506G027	189.728	-27.308	83.69	0	0	1
Mrk110		141.3	52.29	2.12	1	0	0
Ark120		79.05	-0.15	2.75	1	0	0
MCG0803018	20.6435	50.055	13.6	0	0	1
Z16419		221.4	27.03	8.81	1	0	0
IRAS050781626	77.69	16.5	3.37	1	0	0
NGC4992		197.27	11.63	2.34	1	0	0
Mrk417		162.38	22.96	1.73	1	0	0
NGC5506		213.312	-3.2075	4.21	0	1	0
Mrk79		115.64	49.81	1.82	1	0	0
NGC3079		150.49	55.68	3.33	1	0	0
